job_username,job_count,avg_waste,total_waste,cpu_hours_wasted,mem_gb_hours_wasted
USER1933,75184,0.0893,6712.343,962147.0267,0.0
USER119,8430,0.7593,6400.7861,678366.311,4003646.1318
USER2035,7768,0.5484,4259.7492,11984.3299,0.0
USER75,3324,0.8134,2703.6965,53592078.2193,271184811.8549
USER1193,3844,0.6843,2630.5721,1581767.762,2559535.8552
USER1626,3345,0.7801,2609.4314,125187356.2772,816559578.5849
USER296,3071,0.7868,2416.2539,66263049.0406,399916462.7689
USER281,1996,0.9755,1947.1573,6184217.6629,32592966.9888
USER93,3954,0.3688,1458.0939,4887.0208,116.2347
USER2018,1491,0.8705,1297.8979,2681567.9769,11031763.2682
USER26,1647,0.7312,1204.2156,1161815.7834,7990074.6774
USER1936,4718,0.2539,1198.1287,276108.7336,149223.0664
USER205,2101,0.5635,1183.8938,17749596.5909,298493666.0181
USER1662,1519,0.7557,1147.8704,5154993.8586,37494629.6884
USER1939,1364,0.7194,981.3028,4302019.1557,41559324.85
USER1706,6477,0.1477,956.7767,14064.4038,772.4222
USER2,1503,0.6358,955.6733,5395538.9708,38964253.9799
USER25,1689,0.5407,913.2539,1571469.7682,77188589.8376
USER1909,1418,0.6283,890.9329,2567877.5136,31850750.0162
USER239,1878,0.4588,861.5628,3277849.3054,99482351.7712
