,composite_waste,composite_waste,composite_waste,composite_waste,cpu_waste,cpu_waste,mem_waste,mem_waste
,count,mean,median,std,mean,median,mean,median
queue,,,,,,,,
debug,56,0.6511,0.5131,0.2768,0.7965,0.7977,0.433,0.0
gpu,12427,0.6375,0.5862,0.1757,0.9124,0.9691,0.2252,0.0
gpu-debug,13,0.5877,0.6,0.0441,0.9795,0.9999,0.0,0.0
highmem,704,0.4576,0.4041,0.2946,0.5532,0.5236,0.3143,0.0
shared,119627,0.2074,0.119,0.2434,0.304,0.185,0.0624,0.0
standard,16916,0.671,0.6469,0.2625,0.4979,0.5022,0.9308,0.9548
wholenode,33583,0.6521,0.636,0.2548,0.451,0.4551,0.9537,0.9833
wide,11241,0.7197,0.7408,0.24,0.5401,0.5736,0.9892,0.9949
